Sample	Plant	Organ material	Year	Season	Species	Article
SRR11242832	V. vinifera-USA	Cordon	2017	Autumn	V. vinifera cv. ‘Cabernet Dorsa’ 	Deyett et al, 2020
SRR11242833	V. vinifera-USA	Cordon	2017	Autumn	V. vinifera cv. ‘Cabernet Dorsa’ 	Deyett et al, 2020
SRR11242834	V. vinifera-USA	Cordon	2017	Autumn	V. vinifera cv. ‘Cabernet Dorsa’ 	Deyett et al, 2020
SRR11242835	V. vinifera-USA	Cordon	2017	Autumn	V. vinifera cv. ‘Cabernet Dorsa’ 	Deyett et al, 2020
SRR11242836	V. vinifera-USA	Cordon	2017	Autumn	V. vinifera cv. ‘Cabernet Dorsa’ 	Deyett et al, 2020
SRR11242837	V. vinifera-USA	Cordon	2017	Autumn	V. vinifera cv. ‘Cabernet Dorsa’ 	Deyett et al, 2020
SRR11242839	V. vinifera-USA	Cordon	2017	Autumn	V. vinifera cv. ‘Cabernet Dorsa’ 	Deyett et al, 2020
SRR11242840	V. vinifera-USA	Cordon	2017	Autumn	V. vinifera cv. ‘Cabernet Dorsa’ 	Deyett et al, 2020
SRR11242841	V. vinifera-USA	Cordon	2017	Autumn	V. vinifera cv. ‘Cabernet Dorsa’ 	Deyett et al, 2020
SRR11242842	V. vinifera-USA	Cordon	2017	Autumn	V. vinifera cv. ‘Cabernet Dorsa’ 	Deyett et al, 2020
SRR11242843	V. vinifera-USA	Cane	2017	Autumn	V. vinifera cv. ‘Cabernet Dorsa’ 	Deyett et al, 2020
SRR11242844	V. vinifera-USA	Cane	2017	Autumn	V. vinifera cv. ‘Cabernet Dorsa’ 	Deyett et al, 2020
SRR11242845	V. vinifera-USA	Cane	2017	Autumn	V. vinifera cv. ‘Cabernet Dorsa’ 	Deyett et al, 2020
SRR11242846	V. vinifera-USA	Cane	2017	Autumn	V. vinifera cv. ‘Cabernet Dorsa’ 	Deyett et al, 2020
SRR11242847	V. vinifera-USA	Cane	2017	Autumn	V. vinifera cv. ‘Cabernet Dorsa’ 	Deyett et al, 2020
SRR11242848	V. vinifera-USA	Cane	2017	Autumn	V. vinifera cv. ‘Cabernet Dorsa’ 	Deyett et al, 2020
SRR11242850	V. vinifera-USA	Cane	2017	Autumn	V. vinifera cv. ‘Cabernet Dorsa’ 	Deyett et al, 2020
SRR11242851	V. vinifera-USA	Cane	2017	Autumn	V. vinifera cv. ‘Cabernet Dorsa’ 	Deyett et al, 2020
SRR11242852	V. vinifera-USA	Cane	2017	Autumn	V. vinifera cv. ‘Cabernet Dorsa’ 	Deyett et al, 2020
SRR11242853	V. vinifera-USA	Cane	2017	Autumn	V. vinifera cv. ‘Cabernet Dorsa’ 	Deyett et al, 2020
SRR11242854	V. vinifera-USA	Cane	2017	Autumn	V. vinifera cv. ‘Cabernet Dorsa’ 	Deyett et al, 2020
SRR11242855	V. vinifera-USA	Cane	2017	Autumn	V. vinifera cv. ‘Cabernet Dorsa’ 	Deyett et al, 2020
SRR11242856	V. vinifera-USA	Cane	2017	Autumn	V. vinifera cv. ‘Cabernet Dorsa’ 	Deyett et al, 2020
SRR11242857	V. vinifera-USA	Cane	2017	Autumn	V. vinifera cv. ‘Cabernet Dorsa’ 	Deyett et al, 2020
SRR11242858	V. vinifera-USA	Cane	2017	Autumn	V. vinifera cv. ‘Cabernet Dorsa’ 	Deyett et al, 2020
